accuracy,precision,recall,f1,roc_auc,pr_auc,ece,tn,fp,fn,tp,seed,model,split_type,partial_chars,C,weight_text,noise_group,noise_rate
0.9976905311778291,1.0,0.9902912621359223,0.9951219512195122,1.0,1.0,0.0031862133446000297,330,0,1,102,13,retuned_text_only_lexical_lr,scenario_signature_blocked,0,1.0,,none,0.0
0.9214780600461894,0.8285714285714286,0.8446601941747572,0.8365384615384616,0.966902030008826,0.8947093211637728,0.08211993744475987,312,18,16,87,13,retuned_structural_view_lr,scenario_signature_blocked,0,1.0,,none,0.0
0.8891454965357968,0.7391304347826086,0.8252427184466019,0.7798165137614679,0.9633421594586643,0.895135537057469,0.08803543060665073,300,30,18,85,13,retuned_entity_view_lr,scenario_signature_blocked,0,1.0,,none,0.0
0.9330254041570438,0.8363636363636363,0.8932038834951457,0.863849765258216,0.9761988820241247,0.911779391022023,0.05054502050862719,312,18,11,92,13,retuned_hrkg_all_lr,scenario_signature_blocked,0,1.0,,none,0.0
0.9976905311778291,1.0,0.9902912621359223,0.9951219512195122,0.9996175345689908,0.9989119517910947,0.042197817382050105,330,0,1,102,13,retuned_text_hrkg_late_fusion,scenario_signature_blocked,0,1.0,0.5,none,0.0
1.0,1.0,1.0,1.0,1.0,1.0,1.1971963985784828e-11,330,0,0,103,13,noncontrastive_lexical_structural_early_fusion,scenario_signature_blocked,0,1.0,,none,0.0
1.0,1.0,1.0,1.0,1.0,1.0,2.86577296125899e-09,330,0,0,103,13,noncontrastive_lexical_entity_early_fusion,scenario_signature_blocked,0,1.0,,none,0.0
1.0,1.0,1.0,1.0,1.0,1.0,5.524410542438726e-12,330,0,0,103,13,noncontrastive_lexical_hrkg_early_fusion,scenario_signature_blocked,0,1.0,,none,0.0
0.9976905311778291,1.0,0.9902912621359223,0.9951219512195122,1.0,1.0,0.0031862133446000297,330,0,1,102,17,retuned_text_only_lexical_lr,scenario_signature_blocked,0,1.0,,none,0.0
0.9214780600461894,0.8285714285714286,0.8446601941747572,0.8365384615384616,0.966902030008826,0.8947093211637728,0.08211993744475987,312,18,16,87,17,retuned_structural_view_lr,scenario_signature_blocked,0,1.0,,none,0.0
0.8891454965357968,0.7391304347826086,0.8252427184466019,0.7798165137614679,0.9633421594586643,0.895135537057469,0.08803543060665073,300,30,18,85,17,retuned_entity_view_lr,scenario_signature_blocked,0,1.0,,none,0.0
0.9330254041570438,0.8363636363636363,0.8932038834951457,0.863849765258216,0.9761988820241247,0.911779391022023,0.05054502050862719,312,18,11,92,17,retuned_hrkg_all_lr,scenario_signature_blocked,0,1.0,,none,0.0
0.9976905311778291,1.0,0.9902912621359223,0.9951219512195122,0.9996175345689908,0.9989119517910947,0.042197817382050105,330,0,1,102,17,retuned_text_hrkg_late_fusion,scenario_signature_blocked,0,1.0,0.5,none,0.0
1.0,1.0,1.0,1.0,1.0,1.0,1.1971963985784828e-11,330,0,0,103,17,noncontrastive_lexical_structural_early_fusion,scenario_signature_blocked,0,1.0,,none,0.0
1.0,1.0,1.0,1.0,1.0,1.0,2.86577296125899e-09,330,0,0,103,17,noncontrastive_lexical_entity_early_fusion,scenario_signature_blocked,0,1.0,,none,0.0
1.0,1.0,1.0,1.0,1.0,1.0,5.524410542438726e-12,330,0,0,103,17,noncontrastive_lexical_hrkg_early_fusion,scenario_signature_blocked,0,1.0,,none,0.0
0.9976905311778291,1.0,0.9902912621359223,0.9951219512195122,1.0,1.0,0.0031862133446000297,330,0,1,102,23,retuned_text_only_lexical_lr,scenario_signature_blocked,0,1.0,,none,0.0
0.9214780600461894,0.8285714285714286,0.8446601941747572,0.8365384615384616,0.966902030008826,0.8947093211637728,0.08211993744475987,312,18,16,87,23,retuned_structural_view_lr,scenario_signature_blocked,0,1.0,,none,0.0
0.8891454965357968,0.7391304347826086,0.8252427184466019,0.7798165137614679,0.9633421594586643,0.895135537057469,0.08803543060665073,300,30,18,85,23,retuned_entity_view_lr,scenario_signature_blocked,0,1.0,,none,0.0
0.9330254041570438,0.8363636363636363,0.8932038834951457,0.863849765258216,0.9761988820241247,0.911779391022023,0.05054502050862719,312,18,11,92,23,retuned_hrkg_all_lr,scenario_signature_blocked,0,1.0,,none,0.0
0.9976905311778291,1.0,0.9902912621359223,0.9951219512195122,0.9996175345689908,0.9989119517910947,0.042197817382050105,330,0,1,102,23,retuned_text_hrkg_late_fusion,scenario_signature_blocked,0,1.0,0.5,none,0.0
1.0,1.0,1.0,1.0,1.0,1.0,1.1971963985784828e-11,330,0,0,103,23,noncontrastive_lexical_structural_early_fusion,scenario_signature_blocked,0,1.0,,none,0.0
1.0,1.0,1.0,1.0,1.0,1.0,2.86577296125899e-09,330,0,0,103,23,noncontrastive_lexical_entity_early_fusion,scenario_signature_blocked,0,1.0,,none,0.0
1.0,1.0,1.0,1.0,1.0,1.0,5.524410542438726e-12,330,0,0,103,23,noncontrastive_lexical_hrkg_early_fusion,scenario_signature_blocked,0,1.0,,none,0.0
