sweep,param_value,n_seeds,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,roc_auc_mean,roc_auc_std,pr_auc_mean,pr_auc_std,best_validation_f1_mean,best_validation_f1_std,default_value
lambda1,0.2,1,0.9703872437357631,0.0,0.8888888888888888,0.0,1.0,0.0,0.9411764705882353,0.0,0.9991963260619977,0.0,0.9974299318555491,0.0,0.9411764705882353,0.0,0.5
lambda1,0.3,1,0.9703872437357631,0.0,0.8888888888888888,0.0,1.0,0.0,0.9411764705882353,0.0,0.9991963260619977,0.0,0.9974299318555491,0.0,0.9411764705882353,0.0,0.5
lambda1,0.4,1,0.9703872437357631,0.0,0.8888888888888888,0.0,1.0,0.0,0.9411764705882353,0.0,0.9991676234213548,0.0,0.9973265406231255,0.0,0.9411764705882353,0.0,0.5
lambda1,0.5,1,0.9703872437357631,0.0,0.8888888888888888,0.0,1.0,0.0,0.9411764705882353,0.0,0.9991676234213548,0.0,0.9973265406231255,0.0,0.9411764705882353,0.0,0.5
lambda1,0.6,1,0.9703872437357631,0.0,0.8888888888888888,0.0,1.0,0.0,0.9411764705882353,0.0,0.9991676234213548,0.0,0.9973265406231255,0.0,0.9411764705882353,0.0,0.5
lambda1,0.7,1,0.9703872437357631,0.0,0.8888888888888888,0.0,1.0,0.0,0.9411764705882353,0.0,0.9991676234213548,0.0,0.9973265406231255,0.0,0.9411764705882353,0.0,0.5
lambda1,0.8,1,0.9703872437357631,0.0,0.8888888888888888,0.0,1.0,0.0,0.9411764705882353,0.0,0.9991676234213548,0.0,0.9973265406231255,0.0,0.9411764705882353,0.0,0.5
tau,0.05,1,0.9703872437357631,0.0,0.8888888888888888,0.0,1.0,0.0,0.9411764705882353,0.0,0.9991676234213548,0.0,0.9973265406231255,0.0,0.9411764705882353,0.0,0.2
tau,0.1,1,0.9703872437357631,0.0,0.8888888888888888,0.0,1.0,0.0,0.9411764705882353,0.0,0.9991676234213548,0.0,0.9973265406231255,0.0,0.9411764705882353,0.0,0.2
tau,0.2,1,0.9703872437357631,0.0,0.8888888888888888,0.0,1.0,0.0,0.9411764705882353,0.0,0.9991676234213548,0.0,0.9973265406231255,0.0,0.9411764705882353,0.0,0.2
tau,0.3,1,0.9703872437357631,0.0,0.8888888888888888,0.0,1.0,0.0,0.9411764705882353,0.0,0.9991963260619977,0.0,0.9974299318555491,0.0,0.9411764705882353,0.0,0.2
tau,0.5,1,0.9703872437357631,0.0,0.8888888888888888,0.0,1.0,0.0,0.9411764705882353,0.0,0.9991963260619977,0.0,0.9974299318555491,0.0,0.9411764705882353,0.0,0.2
tau,0.7,1,0.9703872437357631,0.0,0.8888888888888888,0.0,1.0,0.0,0.9411764705882353,0.0,0.9991963260619977,0.0,0.9974299318555491,0.0,0.9411764705882353,0.0,0.2
tau,1.0,1,0.9703872437357631,0.0,0.8888888888888888,0.0,1.0,0.0,0.9411764705882353,0.0,0.9991963260619977,0.0,0.9974299318555491,0.0,0.9411764705882353,0.0,0.2
radius,1.0,1,0.9840546697038725,0.0,0.944954128440367,0.0,0.9903846153846154,0.0,0.9671361502347418,0.0,0.9987370838117107,0.0,0.9958841730964174,0.0,0.9671361502347418,0.0,2.0
radius,2.0,1,0.9703872437357631,0.0,0.8888888888888888,0.0,1.0,0.0,0.9411764705882353,0.0,0.9991676234213548,0.0,0.9973265406231255,0.0,0.9411764705882353,0.0,2.0
radius,3.0,1,0.9726651480637813,0.0,0.9035087719298246,0.0,0.9903846153846154,0.0,0.944954128440367,0.0,0.9983065442020667,0.0,0.9945504078070666,0.0,0.944954128440367,0.0,2.0
radius,4.0,1,0.9726651480637813,0.0,0.9107142857142857,0.0,0.9807692307692307,0.0,0.9444444444444444,0.0,0.9986509758897819,0.0,0.9957888332847922,0.0,0.9444444444444444,0.0,2.0
