id,scenario_signature_group,label
0,0,0
1,1,0
2,2,0
3,3,0
4,2,0
5,4,0
6,5,0
7,2,0
8,6,0
9,7,0
10,8,0
11,9,0
12,2,0
13,10,0
14,11,0
15,12,0
16,11,0
17,13,0
18,14,0
19,15,0
20,16,0
21,17,0
22,2,0
23,7,0
24,18,0
25,11,0
26,11,0
27,11,0
28,0,0
29,19,0
30,11,0
31,20,0
32,7,0
33,21,0
34,22,0
35,23,0
36,2,0
37,2,0
38,15,0
39,12,0
40,11,0
41,11,0
42,21,0
43,0,0
44,24,0
45,1,0
46,11,0
47,25,0
48,17,0
49,7,0
50,1,0
51,26,0
52,14,0
53,3,0
54,27,0
55,28,0
56,1,0
57,1,0
58,7,0
59,29,0
60,30,0
61,3,0
62,11,0
63,7,0
64,2,0
65,11,0
66,31,0
67,32,0
68,2,0
69,17,0
70,23,0
71,23,0
72,33,0
73,34,0
74,35,0
75,36,0
76,37,0
77,21,0
78,11,0
79,7,0
80,23,0
81,21,0
82,38,0
83,39,0
84,14,0
85,2,0
86,40,0
87,2,0
88,41,0
89,42,0
90,6,0
91,43,0
92,11,0
93,11,0
94,44,0
95,45,0
96,46,0
97,11,0
98,12,0
99,23,0
100,47,0
101,48,0
102,49,0
103,50,0
104,23,0
105,51,0
106,25,0
107,14,0
108,27,0
109,12,0
110,23,0
111,52,0
112,11,0
113,53,0
114,54,0
115,55,0
116,39,0
117,14,0
118,38,0
119,11,0
120,2,0
121,10,0
122,56,0
123,22,0
124,57,0
125,21,0
126,11,0
127,58,0
128,59,0
129,15,0
130,60,0
131,2,0
132,14,0
133,61,0
134,21,0
135,0,0
136,11,0
137,45,0
138,14,0
139,62,0
140,63,0
141,7,0
142,11,0
143,64,0
144,12,0
145,11,0
146,54,0
147,19,0
148,11,0
149,2,0
150,39,0
151,57,0
152,11,0
153,43,0
154,23,0
155,65,0
156,21,0
157,56,0
158,0,0
159,54,0
160,2,0
161,66,0
162,23,0
163,20,0
164,1,0
165,18,0
166,48,0
167,2,0
168,67,0
169,2,0
170,2,0
171,68,0
172,11,0
173,2,0
174,48,0
175,1,0
176,12,0
177,69,0
178,11,0
179,11,0
180,70,0
181,66,0
182,12,0
183,17,0
184,17,0
185,48,0
186,18,0
187,23,0
188,12,0
189,7,0
190,1,0
191,11,0
192,11,0
193,12,0
194,7,0
195,2,0
196,71,0
197,72,0
198,11,0
199,23,0
200,73,0
201,11,0
202,11,0
203,11,0
204,0,0
205,9,0
206,17,0
207,74,0
208,7,0
209,38,0
210,6,0
211,39,0
212,6,0
213,39,0
214,75,0
215,2,0
216,76,0
217,48,0
218,14,0
219,49,0
220,7,0
221,77,0
222,78,0
223,11,0
224,1,0
225,21,0
226,79,0
227,11,0
228,1,0
229,11,0
230,45,0
231,63,0
232,80,0
233,38,0
234,81,0
235,82,0
236,39,0
237,17,0
238,83,0
239,84,0
240,12,0
241,15,0
242,11,0
243,7,0
244,85,0
245,1,0
246,15,0
247,17,0
248,2,0
249,86,0
250,67,0
251,83,0
252,87,0
253,88,0
254,12,0
255,89,0
256,12,0
257,23,0
258,2,0
259,3,0
260,2,0
261,11,0
262,69,0
263,1,0
264,11,0
265,17,0
266,2,0
267,2,0
268,20,0
269,12,0
270,12,0
271,11,0
272,90,0
273,11,0
274,20,0
275,1,0
276,47,0
277,11,0
278,17,0
279,79,0
280,1,0
281,2,0
282,61,0
283,91,0
284,0,0
285,21,0
286,52,0
287,11,0
288,4,0
289,12,0
290,12,0
291,18,0
292,57,0
293,1,0
294,92,0
295,14,0
296,93,0
297,49,0
298,23,0
299,14,0
300,23,0
301,7,0
302,0,0
303,94,0
304,1,0
305,2,0
306,1,0
307,11,0
308,57,0
309,11,0
310,95,0
311,96,0
312,11,0
313,97,0
314,14,0
315,38,0
316,98,0
317,28,0
318,99,0
319,7,0
320,54,0
321,1,0
322,0,0
323,11,0
324,23,0
325,38,0
326,23,0
327,100,0
328,2,0
329,17,0
330,14,0
331,101,0
332,2,0
333,11,0
334,11,0
335,102,0
336,103,0
337,11,0
338,0,0
339,12,0
340,39,0
341,94,0
342,39,0
343,2,0
344,92,0
345,21,0
346,2,0
347,7,0
348,7,0
349,14,0
350,83,0
351,15,0
352,0,0
353,2,0
354,1,0
355,2,0
356,49,0
357,2,0
358,48,0
359,46,0
360,67,0
361,2,0
362,11,0
363,104,0
364,14,0
365,57,0
366,105,0
367,52,0
368,14,0
369,106,0
370,39,0
371,12,0
372,14,0
373,2,0
374,30,0
375,107,0
376,67,0
377,12,0
378,11,0
379,11,0
380,108,0
381,47,0
382,7,0
383,11,0
384,2,0
385,2,0
386,1,0
387,11,0
388,57,0
389,12,0
390,11,0
391,1,0
392,109,0
393,23,0
394,11,0
395,31,0
396,110,0
397,111,0
398,38,0
399,40,0
400,112,0
401,6,0
402,3,0
403,113,0
404,11,0
405,12,0
406,1,0
407,11,0
408,30,0
409,9,0
410,0,0
411,2,0
412,17,0
413,14,0
414,11,0
415,12,0
416,2,0
417,1,0
418,14,0
419,114,0
420,9,0
421,11,0
422,115,0
423,43,0
424,112,0
425,23,0
426,23,0
427,17,0
428,2,0
429,112,0
430,2,0
431,55,0
432,21,0
433,0,0
434,116,0
435,117,0
436,87,0
437,38,0
438,46,0
439,118,0
440,113,0
441,11,0
442,23,0
443,11,0
444,119,0
445,120,0
446,25,0
447,23,0
448,121,0
449,122,0
450,23,0
451,123,0
452,6,0
453,2,0
454,7,0
455,58,0
456,16,0
457,16,0
458,23,0
459,87,0
460,40,0
461,58,0
462,124,0
463,43,0
464,125,0
465,82,0
466,11,0
467,126,0
468,11,0
469,52,0
470,66,0
471,11,0
472,2,0
473,113,0
474,127,0
475,40,0
476,58,0
477,71,0
478,38,0
479,92,0
480,23,0
481,5,0
482,82,0
483,11,0
484,126,0
485,23,0
486,35,0
487,128,0
488,23,0
489,82,0
490,67,0
491,43,0
492,78,0
493,2,0
494,52,0
495,129,0
496,2,0
497,130,0
498,2,0
499,11,0
500,117,0
501,58,0
502,128,0
503,23,0
504,101,0
505,48,0
506,14,0
507,131,0
508,38,0
509,132,0
510,30,0
511,19,0
512,11,0
513,133,0
514,109,0
515,0,0
516,11,0
517,11,0
518,54,0
519,48,0
520,45,0
521,128,0
522,83,0
523,11,0
524,11,0
525,42,0
526,55,0
527,134,0
528,11,0
529,11,0
530,135,0
531,113,0
532,136,0
533,39,0
534,2,0
535,2,0
536,2,0
537,137,0
538,83,0
539,7,0
540,7,0
541,11,0
542,97,0
543,43,0
544,112,0
545,114,0
546,138,0
547,2,0
548,6,0
549,96,0
550,139,0
551,25,0
552,140,0
553,2,0
554,52,0
555,14,0
556,11,0
557,11,0
558,19,0
559,63,0
560,11,0
561,141,0
562,142,0
563,128,0
564,23,0
565,23,0
566,2,0
567,75,0
568,143,0
569,2,0
570,25,0
571,92,0
572,144,0
573,39,0
574,92,0
575,43,0
576,0,0
577,11,0
578,100,0
579,1,0
580,4,0
581,9,0
582,4,0
583,21,0
584,71,0
585,145,0
586,146,0
587,12,0
588,14,0
589,11,0
590,81,0
591,47,0
592,2,0
593,147,0
594,60,0
595,2,0
596,17,0
597,14,0
598,148,0
599,11,0
600,2,0
601,23,0
602,12,0
603,12,0
604,50,0
605,11,0
606,11,0
607,6,0
608,11,0
609,39,0
610,48,0
611,6,0
612,11,0
613,75,0
614,12,0
615,15,0
616,149,0
617,43,0
618,2,0
619,38,0
620,69,0
621,2,0
622,51,0
623,12,0
624,48,0
625,69,0
626,123,0
627,150,0
628,107,0
629,83,0
630,151,0
631,152,0
632,67,0
633,11,0
634,78,0
635,12,0
636,71,0
637,52,0
