model,split_type,partial_chars,accuracy_mean,precision_mean,recall_mean,f1_mean,roc_auc_mean,pr_auc_mean,ece_mean,accuracy_std,precision_std,recall_std,f1_std,roc_auc_std,pr_auc_std,ece_std
noncontrastive_lexical_entity_early_fusion,partial_1000_chars,1000,0.9924242424242425,1.0,0.9682539682539683,0.9838656723418225,0.9999431414356788,0.9998182867744273,0.007021095694954678,0.0013121597027036553,0.0,0.00549857399228213,0.0028432896329867656,5.685856432124936e-05,0.0001822975170528129,0.0015128115643125732
noncontrastive_lexical_entity_early_fusion,partial_2000_chars,2000,0.9954545454545455,1.0,0.980952380952381,0.9903690575887373,0.9999620942904525,0.9998793424804205,0.004630551643190943,0.002272727272727218,0.0,0.00952380952380956,0.004854051013224441,4.3426445818118886e-05,0.00013865424150406148,0.002543704346899801
noncontrastive_lexical_entity_early_fusion,partial_500_chars,500,0.9795454545454545,0.961811391223156,0.9523809523809524,0.9570278352887048,0.9983131959251362,0.9948999282041622,0.01904939350315309,0.008194434716963557,0.02503884158447979,0.00952380952380956,0.01697797376601619,0.00037536701862761837,0.0016879103613983359,0.007874135379063925
noncontrastive_lexical_hrkg_early_fusion,partial_1000_chars,1000,0.9931818181818182,1.0,0.9714285714285714,0.9854914620110905,0.9999336650082918,0.9997888974838848,0.007268451445193832,0.002272727272727232,0.0,0.00952380952380949,0.004901064619591925,7.154545780878374e-05,0.00022791969000606103,0.002591126644162357
noncontrastive_lexical_hrkg_early_fusion,partial_2000_chars,2000,0.9954545454545455,1.0,0.980952380952381,0.9903690575887373,0.9999810471452263,0.9999398165974985,0.004387853569652868,0.002272727272727218,0.0,0.00952380952380956,0.004854051013224441,3.282730741660096e-05,0.00010424071090487844,0.002099988045084262
noncontrastive_lexical_hrkg_early_fusion,partial_500_chars,500,0.9772727272727272,0.9555485087116607,0.949206349206349,0.9523026721048563,0.998095238095238,0.9940373258599539,0.02175712743715018,0.0060130711615104405,0.021516918758543693,0.00549857399228213,0.012279454851945074,0.0006769512949418656,0.0023189613146596313,0.006708095931319159
noncontrastive_lexical_structural_early_fusion,partial_1000_chars,1000,0.9886363636363636,0.9934304207119741,0.9587301587301588,0.9757351378592203,0.9998768064439707,0.9996059810486898,0.010075906080214931,0.003936479108111102,0.005691286095795904,0.014547859349066149,0.008558121291018702,0.00014588774525791496,0.00046705182310861193,0.003203794014565738
noncontrastive_lexical_structural_early_fusion,partial_2000_chars,2000,0.993939393939394,0.9967320261437909,0.9777777777777779,0.9871484456724732,0.9999431414356788,0.9998182867744273,0.006006376763293616,0.004731059089695748,0.005660296756761017,0.014547859349066168,0.01008230409954961,5.685856432124936e-05,0.00018229751705285495,0.003324128780289363
noncontrastive_lexical_structural_early_fusion,partial_500_chars,500,0.9704545454545453,0.9541138774071581,0.9206349206349206,0.9370399885850986,0.9974603174603174,0.9921629817390284,0.027528313350375717,0.008194434716963649,0.022425457753750645,0.014547859349066125,0.017298472511175698,0.0004305261006055688,0.001842774258642597,0.0062417732684292414
retuned_entity_view_lr,partial_1000_chars,1000,0.9219696969696969,0.7850529100529101,0.9269841269841269,0.85002405002405,0.9802463871120587,0.9566930939805663,0.12423606129425334,0.002624319405407423,0.006968024968817926,0.019825390471105975,0.0064876249350985255,0.00782376651482811,0.009742685814048576,0.00525026739348873
retuned_entity_view_lr,partial_2000_chars,2000,0.9386363636363636,0.8457548536656042,0.9111111111111111,0.8765783236371472,0.9822790807865435,0.9557519827836295,0.0886855608094947,0.009906588508046989,0.03950396123917187,0.023967728365938912,0.016841658946857165,0.005556549077201354,0.007410130203519235,0.014366982806039765
